Position,Track Name,Artist,Streams,date,region,spotify_id
97,Litty (feat. Tory Lanez),Meek Mill,1521067,2017-01-06--2017-01-13,us,5J5PXmMdQ2nh1lZOal8KmK
98,One Night,Lil Yachty,1507556,2017-01-06--2017-01-13,us,40yJGQyEaBbIkXpwMFkXip
99,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,1506211,2017-01-06--2017-01-13,us,4tCtwWceOPWzenK2HAIJSb
100,I Would Like,Zara Larsson,1500852,2017-01-06--2017-01-13,us,4Q4jmPHwu0wrJvqrld0FQ6
101,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1500811,2017-01-06--2017-01-13,us,6JV2JOEocMgcZxYSZelKcc
102,I Got You,Bebe Rexha,1496315,2017-01-06--2017-01-13,us,1FUViuNSldssMIawrOXF2i
103,Stressed Out,Twenty One Pilots,1487613,2017-01-06--2017-01-13,us,3CRDbSIZ4r5MsZ0YwxuEkn
104,Lot to Learn,Luke Christopher,1485712,2017-01-06--2017-01-13,us,3TRFq09DUgYj1mug6RRqJW
105,Shed a Light,Robin Schulz,1461787,2017-01-06--2017-01-13,us,1cG0umU5TKStygKsPFZ9pY
106,Lighthouse - Andrelli Remix,Hearts & Colors,1460788,2017-01-06--2017-01-13,us,04CttTezSnv71USiiG9mIo
107,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,1449322,2017-01-06--2017-01-13,us,1lItf5ZXJc1by9SbPeljFd
108,Thinking out Loud,Ed Sheeran,1446798,2017-01-06--2017-01-13,us,1Slwb6dOYkBlWal1PGtnNg
109,Deja Vu,Post Malone,1439611,2017-01-06--2017-01-13,us,0H8XeaJunhvpBdBFIYi6Sh
110,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1427301,2017-01-06--2017-01-13,us,40UroIGvsMPLPBYwH8rMNA
111,That's What I Like,Bruno Mars,1418968,2017-01-06--2017-01-13,us,0KKkJNfGyhkQ5aFogxQAPU
112,This Town,Niall Horan,1415644,2017-01-06--2017-01-13,us,5nA67Y0XX9JipZwYxX7Gl7
113,The Mack,Nevada,1399340,2017-01-06--2017-01-13,us,7aV2mflaASUmGhCErm7kBO
114,Cheap Thrills,Sia,1380638,2017-01-06--2017-01-13,us,27SdWb2rFzO6GWiYDBTD9j
115,"Me, Myself & I",G-Eazy,1379835,2017-01-06--2017-01-13,us,40YcuQysJ0KlGQTeGUosTC
