,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
93,Believer,"Imagine Dragons",991500,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
94,Memories,"Maroon 5",981458,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
95,Shallow,"Lady Gaga",977241,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
96,"Break My Heart","Dua Lipa",970196,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
97,"everything i wanted","Billie Eilish",968505,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
98,"Say You Won't Let Go","James Arthur",964864,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
99,LOCATION,"KAROL G",961850,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
100,"Savage Love (Laxed - Siren Beat)","Jawsh 685",960182,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
101,"The Box","Roddy Ricch",955765,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
102,Señorita,"Shawn Mendes",954451,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
103,"Take Me To Church",Hozier,949019,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
104,"Breaking Me",Topic,944552,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
105,Falling,"Harry Styles",939101,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
106,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",933006,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
107,Afterglow,"Ed Sheeran",924534,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
108,"Life Goes On",BTS,917277,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
109,Perfect,"Ed Sheeran",914461,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
110,"The Hills","The Weeknd",913096,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
111,"Daddy Issues","The Neighbourhood",908834,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
112,"Relación - Remix",Sech,898899,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
113,"Blueberry Faygo","Lil Mosey",895045,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
114,"Shape of You","Ed Sheeran",893719,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
115,"Jocelyn Flores",XXXTENTACION,890082,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
116,"Rain On Me (with Ariana Grande)","Lady Gaga",887210,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
117,"Chica Ideal","Sebastian Yatra",875984,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
118,"Wishing Well","Juice WRLD",873265,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
119,"Train Wreck","James Arthur",870838,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
120,"Hasta Abajo","Kevin Roldan",870755,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
121,"Tapão Na Raba","Raí Saia Rodada",869125,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
122,"HIGHEST IN THE ROOM","Travis Scott",867727,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
123,"Mi Niña",Wisin,852543,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
124,"Patience (feat. YUNGBLUD & Polo G)",KSI,851840,https://open.spotify.com/track/5J5CpT6bgE6KYKk23jgp9W
125,Hayloft,"Mother Mother",851658,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
126,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",850164,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
127,Dior,"Pop Smoke",849965,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
128,"Life Is Good (feat. Drake)",Future,847303,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
129,"If the World Was Ending - feat. Julia Michaels","JP Saxe",846535,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
130,"Martin & Gina","Polo G",844512,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
131,PROBLEMA,"Daddy Yankee",840703,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
132,"All of Me","John Legend",840155,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
133,"Just the Way You Are","Bruno Mars",839008,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
134,Robbery,"Juice WRLD",838552,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
135,"In Your Eyes","The Weeknd",837599,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
136,"Do I Wanna Know?","Arctic Monkeys",835090,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
137,"Somebody That I Used To Know",Gotye,834630,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
138,HOLIDAY,"Lil Nas X",832662,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
139,"Come & Go (with Marshmello)","Juice WRLD",828197,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
140,Falling,"Trevor Daniel",824702,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
141,"7 rings","Ariana Grande",818037,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
142,"Bohemian Rhapsody - Remastered 2011",Queen,813781,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
143,"All Girls Are The Same","Juice WRLD",812066,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
144,"Why'd You Only Call Me When You're High?","Arctic Monkeys",809512,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
145,SAD!,XXXTENTACION,807406,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
146,BED,"Joel Corry",804380,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
147,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,804191,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
148,"Travesuras - Remix","Nio Garcia",802437,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
149,"Ride It",Regard,800170,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
150,"Put Your Records On","Ritt Momney",798313,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
151,BEBÉ,Camilo,795767,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
152,"Dreams - 2004 Remaster","Fleetwood Mac",794834,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
153,"POPSTAR (feat. Drake)","DJ Khaled",789486,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
154,"when the party's over","Billie Eilish",787441,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
155,"Ropa Cara",Camilo,786039,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
156,"my ex's best friend (with blackbear)","Machine Gun Kelly",785229,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
157,"Godzilla (feat. Juice WRLD)",Eminem,784905,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
158,"SICKO MODE","Travis Scott",784886,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
159,Starboy,"The Weeknd",782955,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
160,"Counting Stars",OneRepublic,780533,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
161,Yellow,Coldplay,778276,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
162,Polvo,"Nicky Jam",776942,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
163,"Stuck with U (with Justin Bieber)","Ariana Grande",769544,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
164,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",767346,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
165,Snowman,Sia,767170,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
166,"To the Bone",Pamungkas,766999,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
167,"Every Breath You Take","The Police",762603,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
168,"Take You Dancing","Jason Derulo",759388,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
169,cardigan,"Taylor Swift",756254,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
170,"Una Locura",Ozuna,748980,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
171,"hot girl bummer",blackbear,747696,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
172,"Devil Eyes","Hippie Sabotage",744843,https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
173,"Fan de Tus Fotos","Nicky Jam",743924,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
174,Riptide,"Vance Joy",742254,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
175,"Selfish Love (with Selena Gomez)","DJ Snake",741815,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
176,"Say So","Doja Cat",740597,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
177,Closer,"The Chainsmokers",739203,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
178,"Another One Bites The Dust - Remastered 2011",Queen,738274,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
179,"Dámelo To’ (feat. Myke Towers)","Selena Gomez",733357,https://open.spotify.com/track/36CiGk9oRdwTnBDMgKEfjl
180,"Vida de Rico",Camilo,731563,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
181,"Someone To You",BANNERS,728509,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
